이름,와인 빈티지,지역,가격,재고량
샤또 무똥 로칠드,2015,Bordeaux,200 만원,3
샤또 마고,2002,Bordeaux,83.7 만원,17
사시까이아,2013,Tuscany,190 만원,88
산 펠리체 비질리오,2019,Tuscany,11 만원,452
펜폴즈 그레인지,2017,South Australia,180 만원,15
오퍼스 원,2017,Napa Valley,120 만원,83
베가 시실리아 우니코,2010,Ribera del Duero,80 만원,13
샤또 라피트 로췰드,2010,Bordeaux,128 만원,86
돔 페리뇽,2021,Champagne,22.4 만원,58
볼랭저,1996,Champagne,16.28 만원,96
클라우디 베이 소비뇽 블랑,2021,Marlborough,6.5 만원,43
가야,2017,Piedmont,1.5 만원,25
로마네 콩티 라타슈,2018,Burgundy,600 만원,1
조셉 드루망 몽라쉐,2015,Burgundy,142 만원,98
루이 자도 뫼르소,2020,Burgundy,18 만원,200
리지 몬테벨로,1994,California,6 만원,75
테라노블 까르미네르 그랑 리제르바,2020,Chile,4.5 만원,712
루이 로더레 크리스탈,2013,Champagne,42.4 만원,81
샤또 디켐,2005,Bordeaux,150 만원,29
토레스 마스 라 플라나,2016,Catalonia,11.5 만원,69
샤또 라뚜르,2016,Bordeaux,미정,0
샤또 오브리옹,2016,Bordeaux,미정,0
샤또 슈발 블랑,2015,Bordeaux,미정,0
샤또 오존,2016,Bordeaux,미정,0
샤또 뻬뜨뤼스,2015,Bordeaux,미정,0
샤또 르팽,2015,Bordeaux,미정,0
로마네 콩티,2015,Burgundy,미정,0
기가르 라 란돈,2017,Rhone,미정,0
오르넬라이아,2018,Tuscany,미정,0
티냐넬로,2020,Tuscany,미정,0
안티노리 솔라이아,2019,Tuscany,미정,0
샤또 드 보카스텔 샤토뇌프 뒤 빠쁘 루즈,2020,Rhone,미정,0
크룩 빈티지,2008,Champagne,미정,0
미라발 로제,2023,Provence,미정,0
라 크레마 소노마 코스트 피노 누아,2022,Sonoma Coast,미정,0
켄달-잭슨 빈트너스 리저브 샤르도네,2022,California,미정,0
킴 크로포드 소비뇽 블랑,2023,Marlborough,미정,0
옐로우 테일 쉬라즈,2023,South Eastern Australia,미정,0
마르께스 데 무리에타 카스티요 이가이 그란 레세르바 에스페셜,2011,Rioja,미정,0
케이머스 카베르네 소비뇽,2021,Napa Valley,미정,0
샤또 레오빌 라스 까즈,2016,Bordeaux,미정,0
샤또 몽로즈,2016,Bordeaux,미정,0
샤또 린치 바쥬,2016,Bordeaux,미정,0
샤또 피숑 롱그빌 콩테스 드 라랑드,2016,Bordeaux,미정,0
샤또 파비,2016,Bordeaux,미정,0
마세토,2018,Tuscany,미정,0
비에티 바롤로 카스틸리오네,2019,Piedmont,미정,0
프로두토리 델 바르바레스코 바르바레스코,2020,Piedmont,미정,0
로페즈 데 에레디아 비냐 톤도니아 레세르바,2011,Rioja,미정,0
베가 시실리아 알리온,2019,Ribera del Duero,미정,0
살롱 르 메닐 블랑 드 블랑,2012,Champagne,미정,0
에곤 뮐러 샤르츠호프버거 리슬링 슈페트레제,2021,Mosel,미정,0
실버 오크 나파 밸리 카베르네 소비뇽,2019,Napa Valley,미정,0
스태그스 립 와인 셀라르 SLV 카베르네 소비뇽,2019,Napa Valley,미정,0
케이드 에스테이트 카베르네 소비뇽,2021,Napa Valley,미정,0
더 프리즈너 레드 블렌드,2021,California,미정,0
오이스터 베이 소비뇽 블랑,2023,Marlborough,미정,0
산타 마르게리타 피노 그리지오,2023,Alto Adige,미정,0
베린저 파운더스 에스테이트 카베르네 소비뇽,2022,California,미정,0
토마시 아마로네 델라 발폴리첼라 클라시코,2019,Veneto,미정,0
